"Table for Glen Eden Time Range: 01/01/2017 00:00 to 01/02/2017 00:00"
"Source",,,"AC Glen Eden WDR 10min average",,"AC Glen Eden WDR_RAW 10min average","AC Glen Eden WDR_RAW 1h average",,"AC Glen Eden WSP 10min average","AC Glen Eden WSP 1h average",,"AC Glen Eden WSP_RAW 10min average","AC Glen Eden WSP_RAW 1h average"
"Date","Time","AC Glen Eden WDR 10min average [°]","AC Glen Eden WDR 1h average [°]","AC Glen Eden WDR_RAW 10min average [°]","AC Glen Eden WDR_RAW 1h average [°]","AC Glen Eden WDR_RAW 24h average [°]","AC Glen Eden WSP 10min average [m/s]","AC Glen Eden WSP 1h average [m/s]","AC Glen Eden WSP 24h average [m/s]","AC Glen Eden WSP_RAW 10min average [m/s]","AC Glen Eden WSP_RAW 1h average [m/s]","AC Glen Eden WSP_RAW 24h average [m/s]"
15/01/2017,22:50,,,229,,,,,,2.0,,
15/01/2017,23:00,,,229,231,,,,,1.8,2.0,
15/01/2017,23:10,,,221,,,,,,2.0,,
15/01/2017,23:20,,,225,,,,,,1.4,,
15/01/2017,23:30,,,225,,,,,,1.5,,
15/01/2017,23:40,,,207,,,,,,1.3,,
15/01/2017,23:50,,,207,,,,,,1.5,,
15/01/2017,24:00,,,212,216,298,,,,1.2,1.5,4.5
16/01/2017,00:10,,,217,,,,,,1.1,,
16/01/2017,00:20,,,229,,,,,,0.9,,
16/01/2017,00:30,,,245,,,,,,0.7,,
16/01/2017,00:40,,,246,,,,,,0.8,,
16/01/2017,00:50,,,237,,,,,,0.8,,
16/01/2017,01:00,,,257,239,,,,,0.7,0.8,
16/01/2017,01:10,,,295,,,,,,0.6,,
16/01/2017,01:20,,,210,,,,,,0.6,,
16/01/2017,01:30,,,204,,,,,,0.8,,
16/01/2017,01:40,,,191,,,,,,0.7,,
16/01/2017,01:50,,,194,,,,,,0.5,,
16/01/2017,02:00,,,201,216,,,,,0.4,0.6,
16/01/2017,02:10,,,189,,,,,,0.5,,
16/01/2017,02:20,,,202,,,,,,0.4,,
16/01/2017,02:30,,,243,,,,,,0.6,,
16/01/2017,02:40,,,245,,,,,,1.0,,
16/01/2017,02:50,,,234,,,,,,1.2,,
16/01/2017,03:00,,,232,224,,,,,1.4,0.8,
16/01/2017,03:10,,,247,,,,,,1.0,,
16/01/2017,03:20,,,246,,,,,,1.2,,
16/01/2017,03:30,,,243,,,,,,1.3,,
16/01/2017,03:40,,,239,,,,,,1.4,,
16/01/2017,03:50,,,234,,,,,,1.6,,
16/01/2017,04:00,,,234,241,,,,,1.7,1.4,
16/01/2017,04:10,,,229,,,,,,1.6,,
16/01/2017,04:20,,,233,,,,,,1.6,,
16/01/2017,04:30,,,223,,,,,,1.4,,
16/01/2017,04:40,,,218,,,,,,1.5,,
16/01/2017,04:50,,,215,,,,,,1.7,,
16/01/2017,05:00,,,224,224,,,,,1.7,1.6,
16/01/2017,05:10,,,221,,,,,,1.5,,
16/01/2017,05:20,,,207,,,,,,1.4,,
16/01/2017,05:30,,,224,,,,,,1.5,,
16/01/2017,05:40,,,223,,,,,,1.5,,
16/01/2017,05:50,,,230,,,,,,1.5,,
16/01/2017,06:00,,,229,222,,,,,2.3,1.6,
16/01/2017,06:10,,,226,,,,,,2.8,,
16/01/2017,06:20,,,221,,,,,,2.8,,
16/01/2017,06:30,,,229,,,,,,3.2,,
16/01/2017,06:40,,,231,,,,,,2.9,,
16/01/2017,06:50,,,224,,,,,,3.0,,
16/01/2017,07:00,,,236,228,,,,,3.2,3.0,
16/01/2017,07:10,,,239,,,,,,2.8,,
16/01/2017,07:20,,,238,,,,,,3.8,,
16/01/2017,07:30,,,209,,,,,,3.9,,
16/01/2017,07:40,,,213,,,,,,3.7,,
16/01/2017,07:50,,,215,,,,,,3.0,,
16/01/2017,08:00,,,215,222,,,,,3.1,3.4,
16/01/2017,08:10,,,219,,,,,,3.8,,
16/01/2017,08:20,,,222,,,,,,4.9,,
16/01/2017,08:30,,,203,,,,,,3.3,,
16/01/2017,08:40,,,221,,,,,,4.3,,
16/01/2017,08:50,,,214,,,,,,3.1,,
16/01/2017,09:00,,,207,214,,,,,4.0,3.9,
16/01/2017,09:10,,,219,,,,,,3.7,,
16/01/2017,09:20,,,206,,,,,,3.7,,
16/01/2017,09:30,,,232,,,,,,4.2,,
16/01/2017,09:40,,,220,,,,,,3.6,,
16/01/2017,09:50,,,208,,,,,,4.7,,
16/01/2017,10:00,,,206,215,,,,,3.8,3.9,
16/01/2017,10:10,,,205,,,,,,4.4,,
16/01/2017,10:20,,,195,,,,,,5.2,,
16/01/2017,10:30,,,181,,,,,,4.6,,
16/01/2017,10:40,,,194,,,,,,4.2,,
16/01/2017,10:50,,,204,,,,,,3.9,,
16/01/2017,11:00,,,184,194,,,,,4.4,4.4,
16/01/2017,11:10,,,187,,,,,,6.1,,
16/01/2017,11:20,,,193,,,,,,4.8,,
16/01/2017,11:30,,,188,,,,,,4.5,,
16/01/2017,11:40,,,181,,,,,,5.3,,
16/01/2017,11:50,,,199,,,,,,5.2,,
16/01/2017,12:00,,,207,192,,,,,4.2,5.0,
16/01/2017,12:10,,,203,,,,,,4.6,,
16/01/2017,12:20,,,193,,,,,,4.9,,
16/01/2017,12:30,,,201,,,,,,4.5,,
16/01/2017,12:40,,,188,,,,,,5.5,,
16/01/2017,12:50,,,190,,,,,,5.5,,
16/01/2017,13:00,,,206,197,,,,,4.9,5.0,
16/01/2017,13:10,,,202,,,,,,5.2,,
16/01/2017,13:20,,,219,,,,,,4.2,,
16/01/2017,13:30,,,223,,,,,,4.5,,
16/01/2017,13:40,,,193,,,,,,5.0,,
16/01/2017,13:50,,,209,,,,,,5.2,,
16/01/2017,14:00,,,216,210,,,,,3.8,4.6,
16/01/2017,14:10,,,200,,,,,,4.1,,
16/01/2017,14:20,,,186,,,,,,4.2,,
16/01/2017,14:30,,,197,,,,,,4.0,,
16/01/2017,14:40,,,204,,,,,,4.6,,
16/01/2017,14:50,,,217,,,,,,4.6,,
16/01/2017,15:00,,,196,200,,,,,4.5,4.3,
16/01/2017,15:10,,,203,,,,,,3.7,,
16/01/2017,15:20,,,234,,,,,,3.7,,
16/01/2017,15:30,,,195,,,,,,4.3,,
16/01/2017,15:40,,,189,,,,,,4.3,,
16/01/2017,15:50,,,230,,,,,,4.3,,
16/01/2017,16:00,,,255,218,,,,,3.3,3.9,
16/01/2017,16:10,,,218,,,,,,3.4,,
16/01/2017,16:20,,,211,,,,,,4.1,,
16/01/2017,16:30,,,223,,,,,,4.3,,
16/01/2017,16:40,,,226,,,,,,4.9,,
16/01/2017,16:50,,,209,,,,,,5.0,,
16/01/2017,17:00,,,203,215,,,,,4.3,4.3,
16/01/2017,17:10,,,215,,,,,,4.2,,
16/01/2017,17:20,,,230,,,,,,4.7,,
16/01/2017,17:30,,,210,,,,,,4.2,,
16/01/2017,17:40,,,226,,,,,,4.4,,
16/01/2017,17:50,,,202,,,,,,4.4,,
16/01/2017,18:00,,,211,215,,,,,3.5,4.2,
16/01/2017,18:10,,,217,,,,,,3.3,,
16/01/2017,18:20,,,213,,,,,,2.6,,
16/01/2017,18:30,,,197,,,,,,3.8,,
16/01/2017,18:40,,,206,,,,,,3.2,,
16/01/2017,18:50,,,213,,,,,,4.1,,
16/01/2017,19:00,,,202,208,,,,,3.6,3.4,
16/01/2017,19:10,,,195,,,,,,3.3,,
16/01/2017,19:20,,,201,,,,,,2.7,,
16/01/2017,19:30,,,195,,,,,,3.4,,
16/01/2017,19:40,,,208,,,,,,3.0,,
16/01/2017,19:50,,,205,,,,,,2.9,,
16/01/2017,20:00,,,211,203,,,,,3.1,3.1,
16/01/2017,20:10,,,211,,,,,,2.6,,
16/01/2017,20:20,,,202,,,,,,2.0,,
16/01/2017,20:30,,,219,,,,,,1.6,,
16/01/2017,20:40,,,230,,,,,,1.7,,
16/01/2017,20:50,,,213,,,,,,1.7,,
16/01/2017,21:00,,,223,216,,,,,1.3,1.8,
16/01/2017,21:10,,,235,,,,,,2.0,,
16/01/2017,21:20,,,231,,,,,,1.9,,
16/01/2017,21:30,,,222,,,,,,3.0,,
16/01/2017,21:40,,,227,,,,,,3.0,,
16/01/2017,21:50,,,226,,,,,,1.5,,
16/01/2017,22:00,,,208,225,,,,,1.0,2.1,
16/01/2017,22:10,,,234,,,,,,2.1,,
16/01/2017,22:20,,,225,,,,,,2.2,,
16/01/2017,22:30,,,233,,,,,,2.3,,
16/01/2017,22:40,,,231,,,,,,2.7,,
16/01/2017,22:50,,,220,,,,,,2.8,,
16/01/2017,23:00,,,227,228,,,,,2.0,2.4,
16/01/2017,23:10,,,221,,,,,,2.3,,
16/01/2017,23:20,,,241,,,,,,2.9,,
16/01/2017,23:30,,,239,,,,,,2.1,,
16/01/2017,23:40,,,260,,,,,,1.7,,
16/01/2017,23:50,,,262,,,,,,2.0,,
16/01/2017,24:00,,,272,249,217,,,,2.0,2.2,3.0
17/01/2017,00:10,,,250,,,,,,1.2,,
17/01/2017,00:20,,,242,,,,,,2.0,,
17/01/2017,00:30,,,249,,,,,,1.4,,
17/01/2017,00:40,,,252,,,,,,1.1,,
17/01/2017,00:50,,,259,,,,,,1.3,,
17/01/2017,01:00,,,245,250,,,,,1.0,1.3,
17/01/2017,01:10,,,255,,,,,,1.0,,
17/01/2017,01:20,,,250,,,,,,1.1,,
17/01/2017,01:30,,,238,,,,,,0.8,,
17/01/2017,01:40,,,245,,,,,,0.6,,
17/01/2017,01:50,,,273,,,,,,0.6,,
17/01/2017,02:00,,,261,254,,,,,0.5,0.8,
17/01/2017,02:10,,,270,,,,,,0.7,,
17/01/2017,02:20,,,249,,,,,,0.8,,
17/01/2017,02:30,,,236,,,,,,0.6,,
17/01/2017,02:40,,,237,,,,,,0.7,,
17/01/2017,02:50,,,245,,,,,,1.5,,
17/01/2017,03:00,,,264,250,,,,,1.6,1.0,
17/01/2017,03:10,,,255,,,,,,1.2,,
17/01/2017,03:20,,,250,,,,,,1.4,,
17/01/2017,03:30,,,254,,,,,,1.7,,
17/01/2017,03:40,,,250,,,,,,1.9,,
17/01/2017,03:50,,,244,,,,,,1.5,,
17/01/2017,04:00,,,235,248,,,,,1.6,1.6,
17/01/2017,04:10,,,243,,,,,,2.2,,
17/01/2017,04:20,,,243,,,,,,1.4,,
17/01/2017,04:30,,,233,,,,,,2.2,,
17/01/2017,04:40,,,235,,,,,,2.1,,
17/01/2017,04:50,,,230,,,,,,1.9,,
17/01/2017,05:00,,,246,238,,,,,1.7,1.9,
17/01/2017,05:10,,,230,,,,,,1.5,,
17/01/2017,05:20,,,242,,,,,,1.7,,
17/01/2017,05:30,,,234,,,,,,2.3,,
17/01/2017,05:40,,,240,,,,,,2.4,,
17/01/2017,05:50,,,235,,,,,,2.6,,
17/01/2017,06:00,,,211,232,,,,,3.1,2.3,
17/01/2017,06:10,,,190,,,,,,1.9,,
17/01/2017,06:20,,,200,,,,,,2.5,,
17/01/2017,06:30,,,214,,,,,,2.4,,
17/01/2017,06:40,,,188,,,,,,2.4,,
17/01/2017,06:50,,,209,,,,,,2.2,,
17/01/2017,07:00,,,195,200,,,,,2.5,2.3,
17/01/2017,07:10,,,188,,,,,,2.7,,
17/01/2017,07:20,,,196,,,,,,2.9,,
17/01/2017,07:30,,,187,,,,,,3.5,,
17/01/2017,07:40,,,194,,,,,,3.2,,
17/01/2017,07:50,,,208,,,,,,2.6,,
17/01/2017,08:00,,,188,193,,,,,3.6,3.1,
17/01/2017,08:10,,,213,,,,,,2.9,,
17/01/2017,08:20,,,196,,,,,,3.8,,
17/01/2017,08:30,,,209,,,,,,2.7,,
17/01/2017,08:40,,,218,,,,,,3.5,,
17/01/2017,08:50,,,212,,,,,,3.7,,
17/01/2017,09:00,,,209,209,,,,,3.7,3.4,
17/01/2017,09:10,,,197,,,,,,4.2,,
17/01/2017,09:20,,,212,,,,,,4.4,,
17/01/2017,09:30,,,191,,,,,,4.1,,
17/01/2017,09:40,,,204,,,,,,5.2,,
17/01/2017,09:50,,,208,,,,,,4.0,,
17/01/2017,10:00,,,195,201,,,,,4.1,4.3,
17/01/2017,10:10,,,232,,,,,,3.9,,
17/01/2017,10:20,,,224,,,,,,4.2,,
17/01/2017,10:30,,,225,,,,,,4.6,,
17/01/2017,10:40,,,218,,,,,,4.5,,
17/01/2017,10:50,,,204,,,,,,4.4,,
17/01/2017,11:00,,,220,220,,,,,5.2,4.5,
17/01/2017,11:10,,,231,,,,,,5.2,,
17/01/2017,11:20,,,217,,,,,,4.5,,
17/01/2017,11:30,,,219,,,,,,4.4,,
17/01/2017,11:40,,,216,,,,,,4.6,,
17/01/2017,11:50,,,212,,,,,,5.0,,
17/01/2017,12:00,,,195,215,,,,,5.1,4.8,
17/01/2017,12:10,,,209,,,,,,5.2,,
17/01/2017,12:20,,,215,,,,,,5.7,,
17/01/2017,12:30,,,222,,,,,,5.2,,
17/01/2017,12:40,,,198,,,,,,5.1,,
17/01/2017,12:50,,,220,,,,,,4.7,,
17/01/2017,13:00,,,207,212,,,,,5.0,5.1,
17/01/2017,13:10,,,197,,,,,,4.8,,
17/01/2017,13:20,,,195,,,,,,4.6,,
17/01/2017,13:30,,,202,,,,,,4.4,,
17/01/2017,13:40,,,205,,,,,,4.0,,
17/01/2017,13:50,,,200,,,,,,4.8,,
17/01/2017,14:00,,,208,201,,,,,4.2,4.5,
17/01/2017,14:10,,,217,,,,,,4.1,,
17/01/2017,14:20,,,223,,,,,,4.8,,
17/01/2017,14:30,,,210,,,,,,4.4,,
17/01/2017,14:40,,,234,,,,,,4.1,,
17/01/2017,14:50,,,215,,,,,,4.5,,
17/01/2017,15:00,,,198,216,,,,,4.3,4.4,
17/01/2017,15:10,,,199,,,,,,4.3,,
17/01/2017,15:20,,,185,,,,,,4.1,,
17/01/2017,15:30,,,205,,,,,,3.6,,
17/01/2017,15:40,,,193,,,,,,4.9,,
17/01/2017,15:50,,,205,,,,,,4.6,,
17/01/2017,16:00,,,213,200,,,,,5.3,4.4,
17/01/2017,16:10,,,208,,,,,,4.6,,
17/01/2017,16:20,,,204,,,,,,4.1,,
17/01/2017,16:30,,,216,,,,,,4.3,,
17/01/2017,16:40,,,202,,,,,,3.8,,
17/01/2017,16:50,,,202,,,,,,4.1,,
17/01/2017,17:00,,,196,205,,,,,3.7,4.1,
17/01/2017,17:10,,,181,,,,,,4.0,,
17/01/2017,17:20,,,222,,,,,,4.0,,
17/01/2017,17:30,,,221,,,,,,2.5,,
17/01/2017,17:40,,,237,,,,,,3.1,,
17/01/2017,17:50,,,237,,,,,,3.9,,
17/01/2017,18:00,,,228,221,,,,,2.8,3.4,
17/01/2017,18:10,,,235,,,,,,2.5,,
17/01/2017,18:20,,,225,,,,,,3.4,,
17/01/2017,18:30,,,220,,,,,,3.1,,
17/01/2017,18:40,,,231,,,,,,2.9,,
17/01/2017,18:50,,,200,,,,,,3.2,,
17/01/2017,19:00,,,226,223,,,,,2.8,3.0,
17/01/2017,19:10,,,237,,,,,,2.3,,
17/01/2017,19:20,,,202,,,,,,1.5,,
17/01/2017,19:30,,,211,,,,,,1.6,,
17/01/2017,19:40,,,217,,,,,,1.9,,
17/01/2017,19:50,,,227,,,,,,1.9,,
17/01/2017,20:00,,,246,223,,,,,1.2,1.7,
17/01/2017,20:10,,,240,,,,,,1.5,,
17/01/2017,20:20,,,260,,,,,,1.8,,
17/01/2017,20:30,,,257,,,,,,1.6,,
17/01/2017,20:40,,,245,,,,,,1.5,,
17/01/2017,20:50,,,274,,,,,,0.9,,
17/01/2017,21:00,,,263,256,,,,,1.4,1.4,
17/01/2017,21:10,,,261,,,,,,1.0,,
17/01/2017,21:20,,,285,,,,,,1.1,,
17/01/2017,21:30,,,276,,,,,,0.7,,
17/01/2017,21:40,,,292,,,,,,0.7,,
17/01/2017,21:50,,,293,,,,,,0.9,,
17/01/2017,22:00,,,244,275,,,,,0.4,0.8,
17/01/2017,22:10,,,262,,,,,,0.4,,
17/01/2017,22:20,,,274,,,,,,0.9,,
17/01/2017,22:30,,,304,,,,,,0.6,,
17/01/2017,22:40,,,241,,,,,,0.3,,
17/01/2017,22:50,,,357,,,,,,0.3,,
17/01/2017,23:00,,,197,273,,,,,0.4,0.4,
17/01/2017,23:10,,,237,,,,,,0.8,,
17/01/2017,23:20,,,187,,,,,,0.5,,
17/01/2017,23:30,,,326,,,,,,0.5,,
17/01/2017,23:40,,,291,,,,,,0.5,,
17/01/2017,23:50,,,21,,,,,,0.3,,
17/01/2017,24:00,,,1,177,225,,,,0.6,0.6,2.7
18/01/2017,00:10,,,4,,,,,,1.2,,
18/01/2017,00:20,,,331,,,,,,0.6,,
18/01/2017,00:30,,,182,,,,,,0.8,,
18/01/2017,00:40,,,156,,,,,,0.5,,
18/01/2017,00:50,,,238,,,,,,0.8,,
18/01/2017,01:00,,,237,191,,,,,0.9,0.8,
18/01/2017,01:10,,,315,,,,,,0.4,,
18/01/2017,01:20,,,277,,,,,,0.6,,
18/01/2017,01:30,,,255,,,,,,0.4,,
18/01/2017,01:40,,,251,,,,,,0.3,,
18/01/2017,01:50,,,106,,,,,,0.5,,
18/01/2017,02:00,,,163,228,,,,,0.8,0.5,
18/01/2017,02:10,,,146,,,,,,0.4,,
18/01/2017,02:20,,,140,,,,,,0.6,,
18/01/2017,02:30,,,144,,,,,,0.8,,
18/01/2017,02:40,,,210,,,,,,1.6,,
18/01/2017,02:50,,,210,,,,,,1.0,,
18/01/2017,03:00,,,227,179,,,,,1.0,0.9,
18/01/2017,03:10,,,208,,,,,,1.4,,
18/01/2017,03:20,,,193,,,,,,1.6,,
18/01/2017,03:30,,,149,,,,,,1.0,,
18/01/2017,03:40,,,248,,,,,,1.3,,
18/01/2017,03:50,,,221,,,,,,2.0,,
18/01/2017,04:00,,,219,206,,,,,1.6,1.5,
18/01/2017,04:10,,,192,,,,,,0.8,,
18/01/2017,04:20,,,170,,,,,,0.3,,
18/01/2017,04:30,,,226,,,,,,0.3,,
18/01/2017,04:40,,,177,,,,,,0.5,,
18/01/2017,04:50,,,175,,,,,,0.4,,
18/01/2017,05:00,,,184,187,,,,,0.5,0.5,
18/01/2017,05:10,,,289,,,,,,0.3,,
18/01/2017,05:20,,,253,,,,,,0.2,,
18/01/2017,05:30,,,249,,,,,,0.4,,
18/01/2017,05:40,,,267,,,,,,0.4,,
18/01/2017,05:50,,,289,,,,,,0.5,,
18/01/2017,06:00,,,238,264,,,,,0.6,0.4,
18/01/2017,06:10,,,252,,,,,,0.5,,
18/01/2017,06:20,,,287,,,,,,1.1,,
18/01/2017,06:30,,,285,,,,,,1.1,,
18/01/2017,06:40,,,263,,,,,,1.0,,
18/01/2017,06:50,,,313,,,,,,1.9,,
18/01/2017,07:00,,,,280,,,,,,1.1,
18/01/2017,07:10,,,276,,,,,,1.4,,
18/01/2017,07:20,,,259,,,,,,1.4,,
18/01/2017,07:30,,,276,,,,,,1.8,,
18/01/2017,07:40,,,267,,,,,,1.7,,
18/01/2017,07:50,,,277,,,,,,1.9,,
18/01/2017,08:00,,,282,273,,,,,2.2,1.7,
18/01/2017,08:10,,,268,,,,,,2.1,,
18/01/2017,08:20,,,259,,,,,,1.9,,
18/01/2017,08:30,,,260,,,,,,2.6,,
18/01/2017,08:40,,,287,,,,,,3.1,,
18/01/2017,08:50,,,283,,,,,,2.7,,
18/01/2017,09:00,,,260,270,,,,,2.5,2.5,
18/01/2017,09:10,,,250,,,,,,3.2,,
18/01/2017,09:20,,,267,,,,,,2.8,,
18/01/2017,09:30,,,261,,,,,,3.0,,
18/01/2017,09:40,,,241,,,,,,3.1,,
18/01/2017,09:50,,,289,,,,,,3.5,,
18/01/2017,10:00,,,277,264,,,,,3.7,3.2,
18/01/2017,10:10,,,287,,,,,,3.9,,
18/01/2017,10:20,,,277,,,,,,3.8,,
18/01/2017,10:30,,,291,,,,,,4.2,,
18/01/2017,10:40,,,284,,,,,,4.4,,
18/01/2017,10:50,,,301,,,,,,4.9,,
18/01/2017,11:00,,,294,289,,,,,5.1,4.4,
18/01/2017,11:10,,,289,,,,,,3.5,,
18/01/2017,11:20,,,295,,,,,,4.5,,
18/01/2017,11:30,,,292,,,,,,4.5,,
18/01/2017,11:40,,,284,,,,,,4.3,,
18/01/2017,11:50,,,290,,,,,,4.5,,
18/01/2017,12:00,,,297,291,,,,,4.6,4.3,
18/01/2017,12:10,,,299,,,,,,4.9,,
18/01/2017,12:20,,,286,,,,,,4.6,,
18/01/2017,12:30,,,274,,,,,,3.7,,
18/01/2017,12:40,,,288,,,,,,4.2,,
18/01/2017,12:50,,,300,,,,,,5.2,,
18/01/2017,13:00,,,297,291,,,,,5.0,4.6,
18/01/2017,13:10,,,296,,,,,,5.7,,
18/01/2017,13:20,,,283,,,,,,4.6,,
18/01/2017,13:30,,,289,,,,,,4.7,,
18/01/2017,13:40,,,279,,,,,,5.0,,
18/01/2017,13:50,,,297,,,,,,5.6,,
18/01/2017,14:00,,,302,291,,,,,6.0,5.3,
18/01/2017,14:10,,,295,,,,,,5.8,,
18/01/2017,14:20,,,291,,,,,,5.9,,
18/01/2017,14:30,,,287,,,,,,4.6,,
18/01/2017,14:40,,,285,,,,,,4.8,,
18/01/2017,14:50,,,270,,,,,,5.1,,
18/01/2017,15:00,,,258,281,,,,,4.5,5.1,
18/01/2017,15:10,,,260,,,,,,3.8,,
18/01/2017,15:20,,,247,,,,,,3.6,,
18/01/2017,15:30,,,289,,,,,,4.0,,
18/01/2017,15:40,,,266,,,,,,3.6,,
18/01/2017,15:50,,,270,,,,,,3.3,,
18/01/2017,16:00,,,269,267,,,,,3.3,3.6,
18/01/2017,16:10,,,247,,,,,,2.7,,
18/01/2017,16:20,,,294,,,,,,3.5,,
18/01/2017,16:30,,,271,,,,,,3.4,,
18/01/2017,16:40,,,318,,,,,,3.7,,
18/01/2017,16:50,,,307,,,,,,4.1,,
18/01/2017,17:00,,,307,291,,,,,4.3,3.6,
18/01/2017,17:10,,,303,,,,,,3.8,,
18/01/2017,17:20,,,301,,,,,,4.2,,
18/01/2017,17:30,,,300,,,,,,3.3,,
18/01/2017,17:40,,,314,,,,,,3.6,,
18/01/2017,17:50,,,319,,,,,,4.0,,
18/01/2017,18:00,,,301,306,,,,,3.8,3.8,
18/01/2017,18:10,,,286,,,,,,3.2,,
18/01/2017,18:20,,,310,,,,,,3.2,,
18/01/2017,18:30,,,331,,,,,,3.4,,
18/01/2017,18:40,,,322,,,,,,3.4,,
18/01/2017,18:50,,,323,,,,,,3.7,,
18/01/2017,19:00,,,315,315,,,,,3.9,3.5,
18/01/2017,19:10,,,314,,,,,,3.3,,
18/01/2017,19:20,,,308,,,,,,2.8,,
18/01/2017,19:30,,,313,,,,,,3.1,,
18/01/2017,19:40,,,324,,,,,,3.6,,
18/01/2017,19:50,,,320,,,,,,2.9,,
18/01/2017,20:00,,,318,316,,,,,2.7,3.1,
18/01/2017,20:10,,,310,,,,,,2.3,,
18/01/2017,20:20,,,320,,,,,,3.0,,
18/01/2017,20:30,,,327,,,,,,2.9,,
18/01/2017,20:40,,,328,,,,,,2.7,,
18/01/2017,20:50,,,328,,,,,,2.2,,
18/01/2017,21:00,,,323,322,,,,,1.6,2.5,
18/01/2017,21:10,,,335,,,,,,1.4,,
18/01/2017,21:20,,,341,,,,,,1.3,,
18/01/2017,21:30,,,341,,,,,,1.5,,
18/01/2017,21:40,,,331,,,,,,1.3,,
18/01/2017,21:50,,,1,,,,,,1.5,,
18/01/2017,22:00,,,357,284,,,,,2.1,1.5,
18/01/2017,22:10,,,346,,,,,,2.3,,
18/01/2017,22:20,,,349,,,,,,2.1,,
18/01/2017,22:30,,,351,,,,,,2.5,,
18/01/2017,22:40,,,347,,,,,,2.1,,
18/01/2017,22:50,,,342,,,,,,2.4,,
18/01/2017,23:00,,,352,348,,,,,2.8,2.4,
18/01/2017,23:10,,,347,,,,,,2.8,,
18/01/2017,23:20,,,345,,,,,,3.1,,
18/01/2017,23:30,,,349,,,,,,3.3,,
18/01/2017,23:40,,,345,,,,,,3.4,,
18/01/2017,23:50,,,340,,,,,,3.2,,
18/01/2017,24:00,,,336,344,274,,,,3.2,3.2,2.7
19/01/2017,00:10,,,336,,,,,,3.2,,
19/01/2017,00:20,,,329,,,,,,2.7,,
19/01/2017,00:30,,,334,,,,,,3.1,,
19/01/2017,00:40,,,336,,,,,,3.3,,
19/01/2017,00:50,,,339,,,,,,3.4,,
19/01/2017,01:00,,,339,335,,,,,3.0,3.1,
19/01/2017,01:10,,,341,,,,,,2.5,,
19/01/2017,01:20,,,333,,,,,,2.6,,
19/01/2017,01:30,,,331,,,,,,2.0,,
19/01/2017,01:40,,,355,,,,,,2.3,,
19/01/2017,01:50,,,347,,,,,,2.6,,
19/01/2017,02:00,,,341,341,,,,,2.7,2.5,
19/01/2017,02:10,,,345,,,,,,3.3,,
19/01/2017,02:20,,,345,,,,,,3.6,,
19/01/2017,02:30,,,342,,,,,,3.3,,
19/01/2017,02:40,,,351,,,,,,3.2,,
19/01/2017,02:50,,,352,,,,,,3.5,,
19/01/2017,03:00,,,342,346,,,,,3.4,3.4,
19/01/2017,03:10,,,336,,,,,,3.5,,
19/01/2017,03:20,,,345,,,,,,3.9,,
19/01/2017,03:30,,,342,,,,,,4.5,,
19/01/2017,03:40,,,347,,,,,,4.3,,
19/01/2017,03:50,,,353,,,,,,4.3,,
19/01/2017,04:00,,,342,344,,,,,4.1,4.1,
19/01/2017,04:10,,,350,,,,,,3.7,,
19/01/2017,04:20,,,347,,,,,,3.6,,
19/01/2017,04:30,,,345,,,,,,3.7,,
19/01/2017,04:40,,,346,,,,,,3.6,,
19/01/2017,04:50,,,343,,,,,,3.6,,
19/01/2017,05:00,,,331,344,,,,,3.7,3.6,
19/01/2017,05:10,,,330,,,,,,4.1,,
19/01/2017,05:20,,,322,,,,,,4.1,,
19/01/2017,05:30,,,322,,,,,,3.6,,
19/01/2017,05:40,,,327,,,,,,3.4,,
19/01/2017,05:50,,,334,,,,,,4.2,,
19/01/2017,06:00,,,337,329,,,,,4.1,3.9,
19/01/2017,06:10,,,343,,,,,,4.0,,
19/01/2017,06:20,,,344,,,,,,3.8,,
19/01/2017,06:30,,,350,,,,,,3.9,,
19/01/2017,06:40,,,349,,,,,,4.0,,
19/01/2017,06:50,,,351,,,,,,3.9,,
19/01/2017,07:00,,,351,348,,,,,3.6,3.9,
19/01/2017,07:10,,,349,,,,,,4.3,,
19/01/2017,07:20,,,345,,,,,,5.2,,
19/01/2017,07:30,,,351,,,,,,4.9,,
19/01/2017,07:40,,,3,,,,,,3.6,,
19/01/2017,07:50,,,355,,,,,,4.8,,
19/01/2017,08:00,,,352,293,,,,,5.3,4.7,
19/01/2017,08:10,,,347,,,,,,4.5,,
19/01/2017,08:20,,,352,,,,,,4.5,,
19/01/2017,08:30,,,349,,,,,,4.9,,
19/01/2017,08:40,,,356,,,,,,4.2,,
19/01/2017,08:50,,,350,,,,,,4.3,,
19/01/2017,09:00,,,350,351,,,,,3.9,4.4,
19/01/2017,09:10,,,354,,,,,,3.7,,
19/01/2017,09:20,,,350,,,,,,4.1,,
19/01/2017,09:30,,,0,,,,,,3.9,,
19/01/2017,09:40,,,358,,,,,,3.5,,
19/01/2017,09:50,,,0,,,,,,3.6,,
19/01/2017,10:00,,,354,236,,,,,4.2,3.8,
19/01/2017,10:10,,,345,,,,,,5.0,,
19/01/2017,10:20,,,347,,,,,,5.4,,
19/01/2017,10:30,,,345,,,,,,5.1,,
19/01/2017,10:40,,,350,,,,,,4.9,,
19/01/2017,10:50,,,355,,,,,,6.1,,
19/01/2017,11:00,,,343,347,,,,,6.1,5.4,
19/01/2017,11:10,,,332,,,,,,5.6,,
19/01/2017,11:20,,,331,,,,,,5.1,,
